"esercizio","cd_unita_funzionale","cd_chiave_primaria","cd_chiave_secondaria","val01","val02","val03","val04","im01","im02","dt01","dt02","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","*","FLUSSO_ORDINATIVI","CODICE_A2A","A2A-69765204","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
"2018","*","FLUSSO_ORDINATIVI","CODICE_ENTE","O5WZO8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
"2018","*","FLUSSO_ORDINATIVI","CODICE_ENTE_BT","0000767","NULL","NULL","NULL",77.47,"NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
"2018","*","FLUSSO_ORDINATIVI","CODICE_TRAMITE_BT","A2A-70941793","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
"2018","*","FLUSSO_ORDINATIVI","CODICE_ISTAT_ENTE","000713516000000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
"2018","*","FLUSSO_ORDINATIVI","ATTIVO_SIOPEPLUS","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-02-16T18:10:00.000","SIGLA","2018-02-16T18:10:00.000","SIGLA","1"
